rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url
1,충주 사과 500kg,gma1001,12900,12900,,,,1143,4.7,0,1,https://example.com/gmarket_fresh/1001
2,제주 감귤 500kg,gma1002,12900,6450,50,,,1791,4.1,0,1,https://example.com/gmarket_fresh/1002
3,성주 참외 10kg,gma1003,9900,5940,40,,,4464,4.3,0,0,https://example.com/gmarket_fresh/1003
4,고당도 샤인머스캣 5송이,gma1004,39000,39000,,,,1307,4.6,0,0,https://example.com/gmarket_fresh/1004
5,친환경 바나나 3kg,gma1005,39000,37050,5,,,2757,3.9,0,0,https://example.com/gmarket_fresh/1005
6,햇 양파 5kg,gma1006,12900,10320,20,,,4945,4.1,0,0,https://example.com/gmarket_fresh/1006
7,国産 대추방울토마토 1kg,gma1007,120000,72000,40,,,3100,3.9,0,0,https://example.com/gmarket_fresh/1007
8,블루베리 3g,gma1008,49900,24950,50,,,569,3.9,0,0,https://example.com/gmarket_fresh/1008
9,충주 사과 2kg,gma1009,39000,39000,,,,827,4.3,0,0,https://example.com/gmarket_fresh/1009
10,제주 감귤 5kg,gma1010,49900,47400,5,,,1716,4.6,0,0,https://example.com/gmarket_fresh/1010
11,성주 참외 500kg,gma1011,12900,6450,50,,,4375,4.7,0,0,https://example.com/gmarket_fresh/1011
12,고당도 샤인머스캣 2송이,gma1012,120000,90000,25,,,4562,4.1,0,0,https://example.com/gmarket_fresh/1012
13,친환경 바나나 3kg,gma1013,9900,8910,10,,,2584,4.3,0,0,https://example.com/gmarket_fresh/1013
14,햇 양파 1kg,gma1014,25000,12500,50,,,2577,4.1,0,0,https://example.com/gmarket_fresh/1014
15,国産 대추방울토마토 5kg,gma1015,79000,55300,30,,,1143,4.1,0,0,https://example.com/gmarket_fresh/1015
16,블루베리 10g,gma1016,39000,19500,50,,,4780,4.3,0,0,https://example.com/gmarket_fresh/1016
17,충주 사과 2kg,gma1017,19900,11940,40,,,385,4.8,0,0,https://example.com/gmarket_fresh/1017
18,제주 감귤 2kg,gma1018,19900,14920,25,,,3152,4.3,0,0,https://example.com/gmarket_fresh/1018
19,성주 참외 5kg,gma1019,39000,23400,40,,,94,4.6,0,0,https://example.com/gmarket_fresh/1019
20,고당도 샤인머스캣 1송이,gma1020,39000,31200,20,,,3561,4.0,0,0,https://example.com/gmarket_fresh/1020
21,친환경 바나나 1kg,gma1021,39000,23400,40,,,4158,4.9,0,0,https://example.com/gmarket_fresh/1021
22,햇 양파 1000kg,gma1022,39000,23400,40,,,1252,4.2,0,0,https://example.com/gmarket_fresh/1022
23,国産 대추방울토마토 2kg,gma1023,9900,4950,50,,,159,3.9,0,0,https://example.com/gmarket_fresh/1023
24,블루베리 3g,gma1024,39000,35100,10,,,4647,4.9,1,0,https://example.com/gmarket_fresh/1024
25,충주 사과 1kg,gma1025,120000,120000,,,,4363,4.7,0,0,https://example.com/gmarket_fresh/1025
26,제주 감귤 2kg,gma1026,120000,72000,40,,,4322,4.8,0,0,https://example.com/gmarket_fresh/1026
27,성주 참외 5kg,gma1027,25000,15000,40,,,1647,4.7,0,0,https://example.com/gmarket_fresh/1027
28,고당도 샤인머스캣 5송이,gma1028,49900,34930,30,,,3698,3.9,0,0,https://example.com/gmarket_fresh/1028
29,친환경 바나나 2kg,gma1029,12900,10320,20,,,4537,4.1,1,0,https://example.com/gmarket_fresh/1029
30,햇 양파 2kg,gma1030,9900,9900,,,,482,4.1,0,0,https://example.com/gmarket_fresh/1030
