rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url
1,오뚜기 진라면 1개입,gma1001,49900,49900,,,,3976,4.1,0,1,https://example.com/gmarket_processed/1001
2,햇반 2개,gma1002,120000,108000,10,,,1559,3.9,0,0,https://example.com/gmarket_processed/1002
3,스팸 클래식 500호,gma1003,79000,63200,20,,,3825,4.8,0,0,https://example.com/gmarket_processed/1003
4,비비고 만두 1봉,gma1004,12900,12900,,,,2779,4.8,0,0,https://example.com/gmarket_processed/1004
5,코카콜라 1ml x24,gma1005,25000,22500,10,,,3675,4.0,0,0,https://example.com/gmarket_processed/1005
6,농심 신라면 2개입,gma1006,39000,27300,30,,,617,4.3,0,0,https://example.com/gmarket_processed/1006
7,곰표 밀가루 1000kg,gma1007,12900,12900,,,,4428,4.8,0,0,https://example.com/gmarket_processed/1007
8,참치캔 1호,gma1008,25000,23750,5,,,3943,4.1,0,0,https://example.com/gmarket_processed/1008
9,오뚜기 진라면 5개입,gma1009,9900,9400,5,,,3198,4.1,0,0,https://example.com/gmarket_processed/1009
10,햇반 1000개,gma1010,120000,102000,15,,,4552,4.6,0,0,https://example.com/gmarket_processed/1010
11,스팸 클래식 5호,gma1011,19900,17910,10,,,479,4.5,0,0,https://example.com/gmarket_processed/1011
12,비비고 만두 10봉,gma1012,9900,7920,20,,,4785,4.4,1,0,https://example.com/gmarket_processed/1012
13,코카콜라 1000ml x24,gma1013,19900,19900,,,,656,4.8,0,0,https://example.com/gmarket_processed/1013
14,농심 신라면 1개입,gma1014,12900,11610,10,,,4666,4.1,0,0,https://example.com/gmarket_processed/1014
15,곰표 밀가루 10kg,gma1015,9900,4950,50,,,4781,4.5,0,0,https://example.com/gmarket_processed/1015
16,참치캔 3호,gma1016,39000,35100,10,,,2573,4.1,0,0,https://example.com/gmarket_processed/1016
17,오뚜기 진라면 5개입,gma1017,19900,16920,15,,,594,3.8,0,0,https://example.com/gmarket_processed/1017
18,햇반 10개,gma1018,12900,12900,,,,4144,4.1,0,0,https://example.com/gmarket_processed/1018
19,스팸 클래식 3호,gma1019,12900,11610,10,,,1292,4.3,0,0,https://example.com/gmarket_processed/1019
20,비비고 만두 10봉,gma1020,39000,19500,50,,,4333,3.8,0,0,https://example.com/gmarket_processed/1020
21,코카콜라 1000ml x24,gma1021,39000,39000,,,,1100,4.1,0,0,https://example.com/gmarket_processed/1021
22,농심 신라면 1개입,gma1022,19900,16920,15,,,1725,4.7,0,0,https://example.com/gmarket_processed/1022
23,곰표 밀가루 2kg,gma1023,39000,23400,40,,,416,3.9,0,0,https://example.com/gmarket_processed/1023
24,참치캔 5호,gma1024,39000,39000,,,,1071,4.6,1,0,https://example.com/gmarket_processed/1024
25,오뚜기 진라면 3개입,gma1025,19900,13930,30,,,3503,4.5,0,0,https://example.com/gmarket_processed/1025
26,햇반 1개,gma1026,12900,12260,5,,,3024,4.5,0,0,https://example.com/gmarket_processed/1026
27,스팸 클래식 2호,gma1027,79000,75050,5,,,2987,4.9,1,0,https://example.com/gmarket_processed/1027
28,비비고 만두 1000봉,gma1028,9900,7920,20,,,2044,4.6,0,0,https://example.com/gmarket_processed/1028
29,코카콜라 3ml x24,gma1029,79000,39500,50,,,1939,4.8,0,0,https://example.com/gmarket_processed/1029
30,농심 신라면 1000개입,gma1030,19900,14920,25,,,2721,4.7,1,0,https://example.com/gmarket_processed/1030
