rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url
1,프리미엄 한우 등심 5g,gss1001,25000,21250,15,,,3133,4.8,0,0,https://example.com/gsshop_best/1001
2,랍스터테일 1000미,gss1002,120000,108000,10,,,2864,4.2,0,0,https://example.com/gsshop_best/1002
3,전복 1000미,gss1003,25000,22500,10,,,1582,4.3,1,0,https://example.com/gsshop_best/1003
4,킹크랩 3kg,gss1004,12900,10960,15,,,4173,4.3,0,0,https://example.com/gsshop_best/1004
5,갈치 1000손,gss1005,49900,49900,,,,2139,4.0,0,0,https://example.com/gsshop_best/1005
6,명품 굴비 3미,gss1006,9900,9900,,,,2831,4.7,0,0,https://example.com/gsshop_best/1006
7,황태채 3g,gss1007,79000,39500,50,,,947,4.3,0,0,https://example.com/gsshop_best/1007
8,수제 떡갈비 10개,gss1008,25000,21250,15,,,3572,3.8,1,0,https://example.com/gsshop_best/1008
9,프리미엄 한우 등심 1000g,gss1009,25000,20000,20,,,2704,4.5,0,0,https://example.com/gsshop_best/1009
10,랍스터테일 500미,gss1010,12900,10960,15,,,3345,4.2,0,0,https://example.com/gsshop_best/1010
11,전복 500미,gss1011,39000,23400,40,,,3444,4.6,0,0,https://example.com/gsshop_best/1011
12,킹크랩 5kg,gss1012,19900,9950,50,,,3326,4.5,0,0,https://example.com/gsshop_best/1012
13,갈치 1손,gss1013,39000,33150,15,,,4751,4.5,0,0,https://example.com/gsshop_best/1013
14,명품 굴비 3미,gss1014,120000,84000,30,,,1750,4.4,0,0,https://example.com/gsshop_best/1014
15,황태채 1000g,gss1015,19900,19900,,,,2745,3.9,0,0,https://example.com/gsshop_best/1015
16,수제 떡갈비 1000개,gss1016,25000,21250,15,,,1631,4.0,0,0,https://example.com/gsshop_best/1016
17,프리미엄 한우 등심 1g,gss1017,25000,17500,30,,,596,4.3,0,0,https://example.com/gsshop_best/1017
18,랍스터테일 500미,gss1018,25000,18750,25,,,1998,4.0,0,0,https://example.com/gsshop_best/1018
19,전복 500미,gss1019,9900,9900,,,,1792,4.0,0,0,https://example.com/gsshop_best/1019
20,킹크랩 500kg,gss1020,120000,120000,,,,994,4.3,0,0,https://example.com/gsshop_best/1020
21,갈치 1000손,gss1021,120000,72000,40,,,4877,4.2,0,0,https://example.com/gsshop_best/1021
22,명품 굴비 1000미,gss1022,120000,60000,50,,,4135,4.3,0,0,https://example.com/gsshop_best/1022
23,황태채 10g,gss1023,120000,114000,5,,,3888,4.3,0,0,https://example.com/gsshop_best/1023
24,수제 떡갈비 1000개,gss1024,25000,21250,15,,,4270,4.4,0,0,https://example.com/gsshop_best/1024
25,프리미엄 한우 등심 2g,gss1025,39000,27300,30,,,2340,4.1,0,0,https://example.com/gsshop_best/1025
26,랍스터테일 3미,gss1026,49900,29940,40,,,1235,4.1,0,0,https://example.com/gsshop_best/1026
27,전복 500미,gss1027,19900,17910,10,,,3339,4.2,1,0,https://example.com/gsshop_best/1027
28,킹크랩 5kg,gss1028,79000,79000,,,,3441,4.3,0,0,https://example.com/gsshop_best/1028
29,갈치 1000손,gss1029,9900,4950,50,,,48,4.9,0,0,https://example.com/gsshop_best/1029
30,명품 굴비 3미,gss1030,79000,59250,25,,,4473,4.8,0,0,https://example.com/gsshop_best/1030
