rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url
1,[톡딜] 닭가슴살 2팩,kak1001,120000,108000,10,3735,3735,2753,4.6,0,1,https://example.com/kakao_talkdeal_food/1001
2,[톡딜] 곤약젤리 1000개,kak1002,79000,75050,5,5336,5336,4375,3.8,0,0,https://example.com/kakao_talkdeal_food/1002
3,[톡딜] 아메리카노 5스틱,kak1003,9900,9900,,1666,1666,3782,4.0,0,0,https://example.com/kakao_talkdeal_food/1003
4,[톡딜] 견과류 3봉,kak1004,79000,63200,20,2929,2929,2764,4.7,0,0,https://example.com/kakao_talkdeal_food/1004
5,[톡딜] 단백질바 5개,kak1005,39000,29250,25,1183,1183,3852,3.8,0,0,https://example.com/kakao_talkdeal_food/1005
6,[톡딜] 누룽지 10g,kak1006,9900,7920,20,1062,1062,329,4.7,0,0,https://example.com/kakao_talkdeal_food/1006
7,[톡딜] 곤드레밥 2인분,kak1007,25000,25000,,2064,2064,1034,4.4,0,0,https://example.com/kakao_talkdeal_food/1007
8,[톡딜] 떡볶이 1인분,kak1008,25000,17500,30,5083,5083,3021,4.0,0,0,https://example.com/kakao_talkdeal_food/1008
9,[톡딜] 닭가슴살 10팩,kak1009,12900,12260,5,1155,1155,4740,3.8,0,0,https://example.com/kakao_talkdeal_food/1009
10,[톡딜] 곤약젤리 3개,kak1010,79000,59250,25,1585,1585,622,4.5,0,0,https://example.com/kakao_talkdeal_food/1010
11,[톡딜] 아메리카노 1000스틱,kak1011,25000,25000,,2040,2040,4918,4.8,0,0,https://example.com/kakao_talkdeal_food/1011
12,[톡딜] 견과류 1000봉,kak1012,9900,7920,20,3686,3686,3035,3.9,0,0,https://example.com/kakao_talkdeal_food/1012
13,[톡딜] 단백질바 500개,kak1013,49900,49900,,4239,4239,4015,3.9,0,0,https://example.com/kakao_talkdeal_food/1013
14,[톡딜] 누룽지 3g,kak1014,120000,114000,5,3612,3612,4274,5.0,0,0,https://example.com/kakao_talkdeal_food/1014
15,[톡딜] 곤드레밥 3인분,kak1015,120000,84000,30,3392,3392,4853,4.1,0,0,https://example.com/kakao_talkdeal_food/1015
16,[톡딜] 떡볶이 1000인분,kak1016,25000,25000,,2100,2100,1997,4.7,0,0,https://example.com/kakao_talkdeal_food/1016
17,[톡딜] 닭가슴살 10팩,kak1017,79000,63200,20,3395,3395,2662,4.0,1,0,https://example.com/kakao_talkdeal_food/1017
18,[톡딜] 곤약젤리 2개,kak1018,49900,42420,15,3250,3250,4883,4.6,0,0,https://example.com/kakao_talkdeal_food/1018
19,[톡딜] 아메리카노 3스틱,kak1019,9900,5940,40,558,558,1977,4.7,0,0,https://example.com/kakao_talkdeal_food/1019
20,[톡딜] 견과류 5봉,kak1020,25000,17500,30,1655,1655,3671,4.8,0,0,https://example.com/kakao_talkdeal_food/1020
21,[톡딜] 단백질바 1개,kak1021,39000,35100,10,870,870,2508,4.6,0,0,https://example.com/kakao_talkdeal_food/1021
22,[톡딜] 누룽지 3g,kak1022,120000,72000,40,1201,1201,4508,4.2,0,0,https://example.com/kakao_talkdeal_food/1022
23,[톡딜] 곤드레밥 500인분,kak1023,120000,102000,15,672,672,988,4.7,0,0,https://example.com/kakao_talkdeal_food/1023
24,[톡딜] 떡볶이 3인분,kak1024,12900,7740,40,1410,1410,1516,4.0,0,0,https://example.com/kakao_talkdeal_food/1024
25,[톡딜] 닭가슴살 500팩,kak1025,120000,102000,15,1317,1317,4297,4.5,0,0,https://example.com/kakao_talkdeal_food/1025
26,[톡딜] 곤약젤리 1개,kak1026,25000,21250,15,352,352,2476,3.8,0,0,https://example.com/kakao_talkdeal_food/1026
27,[톡딜] 아메리카노 10스틱,kak1027,19900,16920,15,154,154,4533,4.2,1,0,https://example.com/kakao_talkdeal_food/1027
28,[톡딜] 견과류 2봉,kak1028,120000,120000,,514,514,2329,4.4,0,0,https://example.com/kakao_talkdeal_food/1028
29,[톡딜] 단백질바 5개,kak1029,49900,47400,5,179,179,3913,3.9,0,0,https://example.com/kakao_talkdeal_food/1029
30,[톡딜] 누룽지 1g,kak1030,79000,55300,30,186,186,439,4.0,0,0,https://example.com/kakao_talkdeal_food/1030
