rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url
1,해남 꿀고구마 1000kg,nsm1001,39000,39000,,2205,2205,3409,4.5,0,1,https://example.com/nsmall_nongsan/1001
2,유기농 쌀 1000kg,nsm1002,25000,15000,40,909,909,4821,5.0,0,0,https://example.com/nsmall_nongsan/1002
3,곰탕용 표고버섯 3g,nsm1003,9900,4950,50,400,400,1702,4.6,0,0,https://example.com/nsmall_nongsan/1003
4,햇 밤 3kg,nsm1004,12900,12260,5,1162,1162,614,4.0,0,0,https://example.com/nsmall_nongsan/1004
5,해남 꿀고구마 5kg,nsm1005,120000,60000,50,198,198,1896,4.1,0,0,https://example.com/nsmall_nongsan/1005
6,유기농 쌀 3kg,nsm1006,120000,120000,,462,462,4831,4.6,0,0,https://example.com/nsmall_nongsan/1006
7,곰탕용 표고버섯 2g,nsm1007,79000,79000,,762,762,1220,4.9,0,0,https://example.com/nsmall_nongsan/1007
8,햇 밤 1000kg,nsm1008,19900,19900,,682,682,2519,4.5,1,0,https://example.com/nsmall_nongsan/1008
9,해남 꿀고구마 1000kg,nsm1009,39000,27300,30,402,402,2491,4.6,0,0,https://example.com/nsmall_nongsan/1009
10,유기농 쌀 3kg,nsm1010,120000,84000,30,35,35,3539,4.7,0,0,https://example.com/nsmall_nongsan/1010
