rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url
1,완도 전복 10미,nsm1001,39000,39000,,2390,2390,4712,4.5,0,0,https://example.com/nsmall_susan/1001
2,제주 갈치 1손,nsm1002,39000,19500,50,1305,1305,4251,4.6,1,0,https://example.com/nsmall_susan/1002
3,통영 굴 3kg,nsm1003,19900,9950,50,1864,1864,4028,5.0,0,0,https://example.com/nsmall_susan/1003
4,노르웨이 고등어 5손,nsm1004,49900,37420,25,1375,1375,856,4.8,0,0,https://example.com/nsmall_susan/1004
5,완도 전복 3미,nsm1005,79000,55300,30,765,765,4506,3.8,0,0,https://example.com/nsmall_susan/1005
6,제주 갈치 1손,nsm1006,49900,42420,15,1112,1112,3311,4.8,0,0,https://example.com/nsmall_susan/1006
7,통영 굴 1000kg,nsm1007,9900,5940,40,154,154,1536,4.4,0,0,https://example.com/nsmall_susan/1007
8,노르웨이 고등어 10손,nsm1008,120000,84000,30,231,231,2187,4.5,0,0,https://example.com/nsmall_susan/1008
9,완도 전복 3미,nsm1009,120000,84000,30,372,372,4987,4.8,0,0,https://example.com/nsmall_susan/1009
10,제주 갈치 500손,nsm1010,19900,16920,15,166,166,3342,3.9,0,0,https://example.com/nsmall_susan/1010
