rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,오뚜기 진라면 1개입,gma1001,49900,49900,,,,3976,4.1,0,1,https://example.com/gmarket_processed/1001,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23e8f3fd%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23a9d0f5%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%8D%9C%3C/text%3E%3C/svg%3E"
2,햇반 2개,gma1002,120000,108000,10,,,1559,3.9,0,0,https://example.com/gmarket_processed/1002,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23eafde8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23b4e8ae%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%8D%9A%3C/text%3E%3C/svg%3E"
3,스팸 클래식 500호,gma1003,79000,63200,20,,,3825,4.8,0,0,https://example.com/gmarket_processed/1003,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23fdf6e8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23f5d9a9%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%A5%AB%3C/text%3E%3C/svg%3E"
4,비비고 만두 1봉,gma1004,12900,12900,,,,2779,4.8,0,0,https://example.com/gmarket_processed/1004,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23f3e8fd%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23d4b4f8%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%A5%9F%3C/text%3E%3C/svg%3E"
5,코카콜라 1ml x24,gma1005,25000,22500,10,,,3675,4.0,0,0,https://example.com/gmarket_processed/1005,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23e8fdf8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23a9f5dd%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%A5%A4%3C/text%3E%3C/svg%3E"
6,농심 신라면 2개입,gma1006,39000,27300,30,,,617,4.3,0,0,https://example.com/gmarket_processed/1006,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23fde8e8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23f8b4b4%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%8D%9C%3C/text%3E%3C/svg%3E"
7,곰표 밀가루 1000kg,gma1007,12900,12900,,,,4428,4.8,0,0,https://example.com/gmarket_processed/1007,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23e8f3fd%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23a9d0f5%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%8C%BE%3C/text%3E%3C/svg%3E"
8,참치캔 1호,gma1008,25000,23750,5,,,3943,4.1,0,0,https://example.com/gmarket_processed/1008,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23eafde8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23b4e8ae%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%90%9F%3C/text%3E%3C/svg%3E"
9,오뚜기 진라면 5개입,gma1009,9900,9400,5,,,3198,4.1,0,0,https://example.com/gmarket_processed/1009,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23fdf6e8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23f5d9a9%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%8D%9C%3C/text%3E%3C/svg%3E"
10,햇반 1000개,gma1010,120000,102000,15,,,4552,4.6,0,0,https://example.com/gmarket_processed/1010,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23f3e8fd%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23d4b4f8%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%8D%9A%3C/text%3E%3C/svg%3E"
11,스팸 클래식 5호,gma1011,19900,17910,10,,,479,4.5,0,0,https://example.com/gmarket_processed/1011,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23e8fdf8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23a9f5dd%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%A5%AB%3C/text%3E%3C/svg%3E"
12,비비고 만두 10봉,gma1012,9900,7920,20,,,4785,4.4,1,0,https://example.com/gmarket_processed/1012,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23fde8e8%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23f8b4b4%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%A5%9F%3C/text%3E%3C/svg%3E"
13,코카콜라 1000ml x24,gma1013,19900,19900,,,,656,4.8,0,0,https://example.com/gmarket_processed/1013,"data:image/svg+xml;utf8,%3Csvg%20xmlns%3D%27http%3A//www.w3.org/2000/svg%27%20width%3D%27300%27%20height%3D%27300%27%3E%3Cdefs%3E%3ClinearGradient%20id%3D%27g%27%20x1%3D%270%27%20y1%3D%270%27%20x2%3D%271%27%20y2%3D%271%27%3E%3Cstop%20offset%3D%270%27%20stop-color%3D%27%23e8f3fd%27/%3E%3Cstop%20offset%3D%271%27%20stop-color%3D%27%23a9d0f5%27/%3E%3C/linearGradient%3E%3C/defs%3E%3Crect%20width%3D%27300%27%20height%3D%27300%27%20fill%3D%27url%28%23g%29%27/%3E%3Ctext%20x%3D%27150%27%20y%3D%27160%27%20font-size%3D%27110%27%20text-anchor%3D%27middle%27%3E%F0%9F%A5%A4%3C/text%3E%3C/svg%3E"
