rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,[HACCP인증]구운계란 대란 60구(30구x2판),,,,,1389,,,4.6,0,1,https://m.nsmall.com/goods/35494388,https://product-image.prod-nsmall.com/new/35494388_0.jpg?s=332x332&t=contain&f=webp&q=80
2,앵콜특가 냉장한우 등심 1등급 500g x 2팩 총 1kg,,,,,707,,,4.2,0,1,https://m.nsmall.com/goods/35910872,https://product-image.prod-nsmall.com/new/35910872_0.jpg?s=332x332&t=contain&f=webp&q=80
3,프리미엄 삼겹살 구이용 1KG / 두께선택,,,,,1611,,,4.2,0,1,https://m.nsmall.com/goods/32458475,https://product-image.prod-nsmall.com/new/32458475_0.jpg?s=332x332&t=contain&f=webp&q=80
4,[무항생제] 자연방목! 신선한 달걀 유정란 난각번호 2번 40구 외,,24900,,23,1099,,,4.7,0,1,https://m.nsmall.com/goods/35484465,https://product-image.prod-nsmall.com/new/35484465_0.jpg?s=332x332&t=contain&f=webp&q=80
5,[톡] 먹는순간 제주도! 흑돼지 돔베고기 500g 2팩 보쌈 구이 불고기용,,,,,110,,,4.2,0,1,https://m.nsmall.com/goods/35957942,https://product-image.prod-nsmall.com/new/35957942_0.jpg?s=332x332&t=contain&f=webp&q=80
6,1++투쁠한우 국거리 1kg 한정수량,,,,,1469,,,3.9,0,1,https://m.nsmall.com/goods/35149714,https://product-image.prod-nsmall.com/new/35149714_0.jpg?s=332x332&t=contain&f=webp&q=80
7,친환경 무항생제 신선계란 30구+30구 총 2판 (대란),,,,,160,,,4.5,0,1,https://m.nsmall.com/goods/34904598,https://product-image.prod-nsmall.com/new/34904598_0.jpg?s=332x332&t=contain&f=webp&q=80
8,자연을담음 당일산란 무항생제 난각2번 유정란(달걀/계란) 40구 외,,,,,1006,,,4.6,0,1,https://m.nsmall.com/goods/35843677,https://product-image.prod-nsmall.com/new/35843677_0.jpg?s=332x332&t=contain&f=webp&q=80
9,[파인밀] 1++ 투쁠 한우 국거리/불고기 200gx3팩,,25900,,27,2404,,,4.1,0,1,https://m.nsmall.com/goods/35167979,https://product-image.prod-nsmall.com/new/35167979_0.jpg?s=332x332&t=contain&f=webp&q=80
10,맛있는 촉촉쫄깃 명품 구운란_60알[중란] 외 대란,,,,,786,,,4.2,0,1,https://m.nsmall.com/goods/32435517,https://product-image.prod-nsmall.com/new/32435517_0.jpg?s=332x332&t=contain&f=webp&q=80
