rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,[임박특가][25년8월제조] 국내산 찐냉동 흑찰옥수수 정품 12개 외,,,,,2461,,,4.2,0,1,https://m.nsmall.com/goods/35951721,https://product-image.prod-nsmall.com/new/35951721_0.jpg?s=332x332&t=contain&f=webp&q=80
2,순천농협 순천만 상등급 쌀 10kg,,,,,1976,,,4.6,0,1,https://m.nsmall.com/goods/30436071,https://product-image.prod-nsmall.com/new/30436071_0.jpg?s=332x332&t=contain&f=webp&q=80
3,서래푸드 구운캐슈넛 1kg,,,,,,,,4.2,0,1,https://m.nsmall.com/goods/35836748,https://product-image.prod-nsmall.com/new/35836748_0.jpg?s=332x332&t=contain&f=webp&q=80
4,"(핫딜)아삭 달콤한 부사사과 4kg 중소과 27과내외 / 2건 구매시 10kg로 발송, 중소과/중과/대과 선택",,,,,433,,,2.3,0,1,https://m.nsmall.com/goods/35937758,https://product-image.prod-nsmall.com/new/35937758_0.jpg?s=332x332&t=contain&f=webp&q=80
5,버블세척 성주 꿀참외 가정용 랜덤과 5kg(랜덤과) 외,,,,,1376,,,4.3,0,1,https://m.nsmall.com/goods/35924250,https://product-image.prod-nsmall.com/new/35924250_0.jpg?s=332x332&t=contain&f=webp&q=80
6,스테비아 방울토마토 500g*4팩 2kg 외,,,,,1998,,,4.3,0,1,https://m.nsmall.com/goods/35207895,https://product-image.prod-nsmall.com/new/35207895_0.jpg?s=332x332&t=contain&f=webp&q=80
7,당도보장 못난이 석정동 성주참외 5kg혼합과,,,,,2074,,,3.9,0,1,https://m.nsmall.com/goods/35211545,https://product-image.prod-nsmall.com/new/35211545_0.jpg?s=332x332&t=contain&f=webp&q=80
8,[2세트 구매시 5kg 발송] 아침햇살 부사사과 2kg 11-13과 가정용 외,,,,,926,,,4.0,0,1,https://m.nsmall.com/goods/35663161,https://product-image.prod-nsmall.com/new/35663161_0.jpg?s=332x332&t=contain&f=webp&q=80
9,늘해랑 포근포근 수미감자 5kg 중사이즈 외,,,,,152,,,4.5,0,1,https://m.nsmall.com/goods/35312337,https://product-image.prod-nsmall.com/new/35312337_0.jpg?s=332x332&t=contain&f=webp&q=80
10,달콤한 주스용 부사 사과 10kg 랜덤과,,,,,143,,,3.4,0,1,https://m.nsmall.com/goods/33995925,https://product-image.prod-nsmall.com/new/33995925_0.jpg?s=332x332&t=contain&f=webp&q=80
