rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,국내산 특대 안동간고등어 140g x 10팩,,,,,806,,,4.4,0,1,https://m.nsmall.com/goods/35748648,https://product-image.prod-nsmall.com/new/35748648_0.jpg?s=332x332&t=contain&f=webp&q=80
2,완도활전복 특대 10미+1미 더 총 11미 (마리당 83~90g),,,,,4918,,,4.6,0,1,https://m.nsmall.com/goods/35563480,https://product-image.prod-nsmall.com/new/35563480_0.jpg?s=332x332&t=contain&f=webp&q=80
3,[바다원] 부드러운 진미채 500g 외,,,,,905,,,4.3,0,1,https://m.nsmall.com/goods/35840395,https://product-image.prod-nsmall.com/new/35840395_0.jpg?s=332x332&t=contain&f=webp&q=80
4,손질통오징어 2미(220g)*5팩 총10미,,,,,879,,,4.4,0,1,https://m.nsmall.com/goods/35395650,https://product-image.prod-nsmall.com/new/35395650_0.jpg?s=332x332&t=contain&f=webp&q=80
5,★타임특가★ 어가찬 특가형 국내산 햇다시멸치 1.5kg,,10900,,9,402,,,3.9,0,1,https://m.nsmall.com/goods/35905322,https://product-image.prod-nsmall.com/new/35905322_0.jpg?s=332x332&t=contain&f=webp&q=80
6,무궁화 노르웨이 딥스킨 생연어 1kg(500gx2팩) 전체부위,,,,,166,,,4.4,0,1,https://m.nsmall.com/goods/35144820,https://product-image.prod-nsmall.com/new/35144820_0.jpg?s=332x332&t=contain&f=webp&q=80
7,몸통 오징어 맥반석구이 150g + 150g [총2봉] 총12~20마리 내외,,,,,724,,,4.4,0,1,https://m.nsmall.com/goods/35394152,https://product-image.prod-nsmall.com/new/35394152_0.jpg?s=332x332&t=contain&f=webp&q=80
8,새우표 완도 프리미엄 도시락김 4g x 54봉 외 2종 택1,,,,,474,,,4.5,0,1,https://m.nsmall.com/goods/35243049,https://product-image.prod-nsmall.com/new/35243049_0.jpg?s=332x332&t=contain&f=webp&q=80
9,"고바멸치 원물박스 1.5kg (볶음용,조림용) 외",,,,,174,,,4.3,0,1,https://m.nsmall.com/goods/35605065,https://product-image.prod-nsmall.com/new/35605065_0.jpg?s=332x332&t=contain&f=webp&q=80
10,백년건강 광천김 재래김 도시락김 16봉x2개 (총 32개),,,,,993,,,4.4,0,1,https://m.nsmall.com/goods/34848422,https://product-image.prod-nsmall.com/new/34848422_0.jpg?s=332x332&t=contain&f=webp&q=80
