rank,product_name,product_id,list_price,sale_price,discount_rate,sales_qty,order_count,review_count,rating,is_sold_out,is_ad,product_url,image_url
1,[전라도 청년] (농할) 국내산 무항생제 난각번호 1번 자연방사 유정란 20구,,20000,12900,36,7764,7764,336,,0,0,https://store.kakao.com/jeollayouth/products/394588599?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240715115556_c8b5806038bb4b368bbed605d18c21fc.jpg
2,"[1,000원쿠폰] [20+20] 더 빅토리아 탄산수/탄산음료 500mlx20펫/350mlx24캔 (총2박스/분리배송)",,28900,17900,38,5117,5117,1,,0,0,https://store.kakao.com/wjfood/products/10228414?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240613081549_2428033e44244ce78879e07e76ca99d0.jpg
3,[동원] 동원참치 라이트 85g 16캔 + 마일드 90g 4캔 외 고추/콘 골라담기,,52000,29900,42,4201,4201,5,,0,0,https://store.kakao.com/dongwonfnb/products/71615031?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260304105057_ddbb8da0753a40709d3ee593c64f7022.jpg
4,(농할) 국내산 흙당근 3kg 중품,,29900,8900,70,3972,3972,8942,,0,0,https://store.kakao.com/mrdangol/products/198401925?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814170322_ab3af3704e2d49429781d284de276363.jpg
5,(농할) 경산 천홍 천도복숭아 로얄과 2kg 13~15과,,21900,15900,27,4162,4162,,,0,0,https://store.kakao.com/bongyi/products/775551326?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260814140424_c6949c0c24ff4932a5d2221cb927d7fa.jpg
6,진하고 고소한 풍미가득! 저온압착 농가네 참기름&들기름,,37900,13900,63,3769,3769,105,,0,0,https://store.kakao.com/ham00/products/762632844?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260713165713_0cb7747ac6c94f1bb89bc4969ee20046.png
7,(농할)제주 단호박 보우짱 특품 2kg(3-7개) / 2개 구매시+1kg 증정 (총 5kg 발송),,9500,8500,11,4032,4032,1869,,0,0,https://store.kakao.com/sgpij/products/404333707?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20250703135729_677f9a362b494af98173eab4651210df.jpg
8,[7% 페이할인] 말랑쫀득 해남 꿀 고구마 말랭이 60g 10봉 외 20봉,,29900,14900,50,2628,2628,55,,0,0,https://store.kakao.com/youngstore/products/62386351?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260813060359_466ff1d3bb1845229fb6971c902d5dec.png
9,(농할) 제주 고당도 하우스감귤 2.5kg 소과,,22900,19500,15,2832,2832,5954,,0,0,https://store.kakao.com/ggeebbbii/products/10691883?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20260708171930_ff83408c3af64db7b441d46f7f50c895.png
10,쫀~득 강원도 찰옥수수 특품 16cm 이상 /드디어 출하! / 10개 외,,16900,9900,41,2635,2635,234,,0,0,https://store.kakao.com/themenchestnut/products/750508584?area=stca,https://img1.kakaocdn.net/thumb/C236x236@2x.fwebp.q82/?fname=https%3A%2F%2Fst.kakaocdn.net%2Fshoppingstore%2Fproduct%2F20240718103813_c7c4e8a6c2ee4814a5f8ea150178b4f7.jpg
